AB~a	126EC	126A2	
|ŠE~a.NAM₂|	12DED	12B55	
ŠE₃	129DB	12B5C	
ŠE₃@t	129DD	12B5D	
ŠEN~a	129E1	12B61	
ŠEN~b	129E3	12B63	
ŠEN~d	129E8	12B69	
ŠEN~d~v1	129E7	12B68	
ŠEŠ~a	129ED	12B6E	
ŠIM~a	129F3	12B74	
ŠIM~a~v1	129F2	12B73	
ŠIR~a	129F6	12B77	
ŠIR~b	129F9	12B7A	
ŠIR~b~v1	129F8	12B79	
ŠITA~b1@g	12A02	12B85	
ŠU₂~a	12A07	12B91	
|ŠU₂~a.AN|	12DFD	12B92	
|ŠU₂~a.EN~a~v1|	12E00	12B93	
ŠURUPPAK~a	12A0F	12BA3	
ŠURUPPAK~b	12A11	12BA5	
TAK₄~a	12A63	12BB6	
TI	12A6A	12BBE	
TUG₂~a@g	12A75	12BC7	
TUR	12A84	12BD7	
TUR~v1	12A82	12BD5	
TUR~v2	12A83	12BD6	
U₂~b	12A8D	12BDF	
U₂~b~v1	12A8C	12BDE	
U₈	12A94	12C1A	
U₈~v1	12A92	12C18	
U₈~v2	12A93	12C19	
UBI~c	12A98	12C1E	
UD₅~a	12A9B	12C22	
UD₅~a~v1	12A9A	12C21	
UKKIN~a	12AAB	12C32	
UKKIN~b	12AAD	12C3C	
UMUN₂	12AB4	12C43	
UNUG~a	12AB6	12C46	
UR₃~a1	12AC0	12C53	
URI₃~a	12ACD	12C60	
URUDU~a	12AD8	12C75	
URUDU~a~v1	12AD7	12C74	
UŠ~b	12AE1	12C81	
|UŠ~b×TAR~c|	12E93	12C82	
UTUA~b	12AE9	12C89	
UZ~a	FFFFA	12C8E	
ZAG~a	12AF4	12C94	
ZATU623	12B03	12CA3	
ZATU623~v1	12B02	12CA2	
ZATU625	12B08	12CA8	
ZATU628~a	12B0E	12CAE	
ZATU629	12B11	12CB1	
ZATU632~a	12B15	12CB5	
ZATU636	12B1D	12CBD	
ZATU647	12B28	12CC9	
ZATU649	12B2B	12CCC	
ZATU651	12B2F	12CD8	
ZATU651~v1	12B2E	12CD7	
ZATU662	12B35	12CE4	
|ZATU662×1(N14)|	12EA5	12CE3	
ZATU662~v1	12B33	12CE0	
|ZATU662~v1×1(N14)|	12EA4	12CE1	
ZATU662~v2	12B34	12CE2	
ZATU675~b	12B41	12CF0	
ZATU680~b	12B4D	12CFC	
ZATU693	12B63	12D13	
ZATU693~v1	12B62	12D12	
ZATU694~c	12B68	12D17	
ZATU697~a	12B70	12D1F	
ZATU697~a~v1	12B6E	12D1D	
ZATU697~a~v2	12B6F	12D1E	
ZATU710	12B81	12D30	
ZATU711	12B83	12D32	
ZATU725	12B8F	12D43	
ZATU729	12B96	12D4A	
ZATU735~b	12B9E	12D52	
ZATU735~b~v1	12B9D	12D51	
ZATU737	12BA4	12D67	
|ZATU737×DI|	12EAF	12D68	
|ZATU737×GAR|	12EB4	12D66	
ZATU737~v1	12BA3	12D64	
ZATU749~a	12BA7	12D6E	
ZATU749~a~v1	12BA6	12D6D	
ZATU750	12BAD	12D74	
ZATU750~v1	12BAB	12D72	
ZATU750~v2	12BAC	12D73	
ZATU752	12BB1	12D78	
ZATU756	12BB7	12D7E	
ZATU757	12BB9	12D80	
ZATU759	12BBC	12D88	
ZATU762~a	12BC0	12D8D	
ZATU762~a~v1	12BBF	12D8C	
ZATU773~a	12BCB	12D99	
ZATU776	12BD0	12D9E	
ZATU777	12BD3	12DA1	
ZATU777~v1	12BD2	12DA0	
ZATU839	12C0C	12DDA	
ZI~a	12C1E	12DEC	
|1(N57).ŠUBUR|	12C2A	12DF7	
|1(N58)~a.BAD|	12C2D	12E0E	
9(N01)	126CC	F26CC	
5(N14)	12675	F2675	
6(N14)	12692	F2692	
9(N18)	126D3	F26D3	
9(N19)~v	126D4	F0094	12613.1
1(N26)	125A3	F00A1	
1(N27)	125A6	F00A2	
1(N29~a)	125AB	F25AB	
1(N30~a)	125B0	F25B0	
6(N57)	126A3	F00D9	F0115.1
