o0901531	|NINDA2xGUDU4|	|NINDA₂×(HI~a1.ME~a)|
o0901532	|NINDA2xGUDU4|	|NINDA₂×(HI~a1.AN.ME~a)|
o0901536	|NINDA2xGUDU4|	|NINDA₂×GUDU₄|~v3
o0901571	|NINDA2x((UDU~axTAR)~b)|	|NINDA₂×(UDU~a×TAR~b)|
o0901595	NUN~c	NUN~c~v1
o0901596	NUN~c	NUN~c~v2
o0901597	NUN~c	NUN~c~v3
o0901619	NUNUZ~c	NUNUZ~c~v1
o0901620	NUNUZ~c	NUNUZ~c~v2
o0901621	NUNUZ~c	NUNUZ~c~v3
o0901626	PA~a	PA~a~v1
o0901627	PA~a	PA~a~v2
o0901641	PAP~b	PAP~b~v1
o0901671	RU	RU~v1
o0901676	SA~c	SA~c~v1
o0901678	SAG	SAG~v1
o0901679	SAG	SAG~v2
o0901683	|SAGxGESZTU~b|	|SAG~v2×GEŠTU~b|
o0901710	SANGA~a	SANGA~a~v1
o0901711	SANGA~a	SANGA~a~v2
o0901713	SANGA~b	SANGA~b~v1
o0901725	SI	SI~v1
o0901743	SI4~d	SI₄~d~v1
o0901745	SI4~f	SI₄~f~v1
o0901749	SIG@g	SIG@g
o0901754	SIG2~a3	SIG₂~a3~v1
o0901755	SIG2~a3	SIG₂~a3~v2
o0901762	SIG2~d2	SIG₂~d2~v1
o0901772	SIG7	SIG₇~v1
o0901785	|SILA3~axDUG~a|	|SILA₃~a~v1×DUG~a|
o0901867	SIMUG	SIMUG~v1
o0901871	SU~a	SU~a~v1
o0901897	SUKUD@g~b	SUKUD@g~b~v1
o0901903	SUM~a	SUM~a~v1
o0901911	SZA	ŠA~v1
o0901912	SZA	ŠA~v2
o0901927	SZAB~a	ŠAB~a~v1
o0901929	SZAB~b	ŠAB~b~v1
o0901931	SZAGAN	ŠAGAN~v1
o0901946	SZE~a	ŠE~a
o0901956	|SZE~a.NAM2|	|ŠE~a.NAM₂|~v1
o0901963	SZE3	ŠE₃~v1
o0901965	SZE3@t	ŠE₃~v1@t
o0901970	SZEN~a	ŠEN~a~v1
o0901972	SZEN~b	ŠEN~b~v1
o0901975	SZEN~d	ŠEN~d~v1
o0901976	SZEN~d	ŠEN~d~v2
o0901987	SZESZ~a	ŠEŠ~a~v1
o0901994	SZIM~a	ŠIM~a~v1
o0901995	SZIM~a	ŠIM~a~v2
o0901999	SZIR~a	ŠIR~a~v1
o0902001	SZIR~b	ŠIR~b~v1
o0902002	SZIR~b	ŠIR~b~v2
o0902028	SZITA@g~a	ŠITA~b3@g
o0902040	SZU2	ŠU₂~b
o0902041	|SZU2.AN|	|ŠU₂~a.AN|
o0902047	|SZU2.EN~a|	|ŠU₂~a.EN~a~v2|
o0902069	SZURUPPAK~a	ŠURUPPAK~a~v1
o0902071	SZURUPPAK~b	ŠURUPPAK~b~v1
o0902095	TAK4~a	TAK₄~a~v1
o0902104	TI	TI~v1
o0902124	TUG2~a@g	TUG₂~a@g~v1
o0902140	TUR	TUR~v1
o0902141	TUR	TUR~v2
o0902142	TUR	TUR~v3
o0902158	U2~b	U₂~b~v1
o0902159	U2~b	U₂~b~v2
o0902221	U8	U₈~v1
o0902222	U8	U₈~v2
o0902223	U8	U₈~v3
o0902231	UBI~c	UBI~c~v1
o0902235	UD5~a	UD₅~a~v1
o0902236	UD5~a	UD₅~a~v2
o0902262	UKKIN~a	UKKIN~a~v1
o0902264	UKKIN~b	UKKIN~b~v1
o0902291	UMUN2	UMUN₂~v1
o0902294	UNUG~a	UNUG~a~v1
o0902314	UR3~a1	UR₃~a1~v1
o0902333	URI3~a	URI₃~a~v1
o0902374	URUDU~a	URUDU~a~v1
o0902375	URUDU~a	URUDU~a~v2
o0902386	USZ~b	UŠ~b~v1
o0902389	|USZ~bxTAR~c|	|UŠ~b~v2×TAR~c|
o0902402	UTUA~b	UTUA~b~v1
o0902423	ZAG~a	ZAG~a~v1
o0902439	ZATU623	ZATU623~v1
o0902440	ZATU623	ZATU623~v2
o0902446	ZATU625	ZATU625~v1
o0902454	ZATU628~a	ZATU628~a~v1
o0902457	ZATU629	ZATU629~v1
o0902462	ZATU632~a	ZATU632~a~v1
o0902471	ZATU636	ZATU636~v1
o0902485	ZATU647	ZATU647~v1
o0902488	ZATU649	ZATU649~v1
o0902491	ZATU651	ZATU651~v1
o0902492	ZATU651	ZATU651~v2
o0902512	ZATU662	ZATU662~v1
o0902513	ZATU662	ZATU662~v2
o0902514	ZATU662	ZATU662~v3
o0902516	|ZATU662x1(N14)|	|ZATU662~v1×1(N14)|
o0902517	|ZATU662x1(N14)|	|ZATU662~v2×1(N14)|
o0902530	ZATU675~b	ZATU675~b~v1
o0902545	ZATU680~b	ZATU680~b~v1
o0902569	ZATU693	ZATU693~v1
o0902570	ZATU693	ZATU693~v2
o0902576	ZATU694~c	ZATU694~c~v1
o0902585	ZATU697~a	ZATU697~a~v1
o0902586	ZATU697~a	ZATU697~a~v2
o0902587	ZATU697~a	ZATU697~a~v3
o0902606	ZATU710	ZATU710~v1
o0902608	ZATU711	ZATU711~v1
o0902627	ZATU725	ZATU725~v1
o0902635	ZATU729	ZATU729~v1
o0902643	ZATU735~b	ZATU735~b~v1
o0902644	ZATU735~b	ZATU735~b~v2
o0902650	ZATU737	ZATU737~v1
o0902651	ZATU737	ZATU737~v2
o0902659	|ZATU737xDI|	|ZATU737~v2×DI|
o0902666	|ZATU737xGAR|	|ZATU737~v1×GAR|
o0902688	ZATU749~a	ZATU749~a~v1
o0902689	ZATU749~a	ZATU749~a~v2
o0902693	ZATU750	ZATU750~v1
o0902694	ZATU750	ZATU750~v2
o0902695	ZATU750	ZATU750~v3
