33	ignore				2327	125A0	𒖠	1(N24@f)	1(N24@f)		o0903015	ONE-N24 FLAT	PROTO-CUNEIFORM NUMBER ONE-N24 FLAT	Nl;0;L;;;;1;N
34	ignore				2333	125A1	𒖡	1(N25)	1(N25)		o0903022	ONE-N25	PROTO-CUNEIFORM NUMBER ONE-N25	Nl;0;L;;;;1;N
35	ignore				2334	125A2	𒖢	1(N26)	1(N26)		o0903023	ONE-N26	PROTO-CUNEIFORM NUMBER ONE-N26	Nl;0;L;;;;1;N
35.1	ignore				2335	125A3	𒖣	1(N26)	1(N26)~v1		o0903024	ONE-N26 VARIANT 1	PROTO-CUNEIFORM NUMBER ONE-N26 VARIANT 1	Nl;0;L;;;;1;N
36	ignore				2336	125A4	𒖤	1(N26~b)	1(N26~b)		o0903025	ONE-N26-B	PROTO-CUNEIFORM NUMBER ONE-N26-B	Nl;0;L;;;;1;N
37	ignore				2338	125A5	𒖥	1(N27)	1(N27)		o0903026	ONE-N27	PROTO-CUNEIFORM NUMBER ONE-N27	Nl;0;L;;;;1;N
37.1	ignore				2337	125A6	𒖦	1(N27)	1(N27)~v1		o0903027	ONE-N27 VARIANT 1	PROTO-CUNEIFORM NUMBER ONE-N27 VARIANT 1	Nl;0;L;;;;1;N
38	ignore				2339	125A7	𒖧	1(N28)	1(N28)		o0903028	ONE-N28	PROTO-CUNEIFORM NUMBER ONE-N28	Nl;0;L;;;;1;N
39	ignore				2340	125A8	𒖨	1(N28~b)	1(N28~b)		o0903029	ONE-N28-B	PROTO-CUNEIFORM NUMBER ONE-N28-B	Nl;0;L;;;;1;N
40	ignore				2341	125A9	𒖩	1(N28~c)	1(N28~c)		o0903030	ONE-N28-C	PROTO-CUNEIFORM NUMBER ONE-N28-C	Nl;0;L;;;;1;N
41	ignore				2343	125AA	𒖪	1(N29~a)	1(N29~a)		o0903032	ONE-N29-A	PROTO-CUNEIFORM NUMBER ONE-N29-A	Nl;0;L;;;;1;N
41.1	ignore				2344	125AB	𒖫	1(N29~a)	1(N29~a)~v1		o0903033	ONE-N29-A VARIANT 1	PROTO-CUNEIFORM NUMBER ONE-N29-A VARIANT 1	Nl;0;L;;;;1;N
42	ignore				2345	125AC	𒖬	1(N29~b)	1(N29~b)		o0903034	ONE-N29-B	PROTO-CUNEIFORM NUMBER ONE-N29-B	Nl;0;L;;;;1;N
43	ignore				2351	125AD	𒖭	1(N29A~b)	1(N29A~b)		o0903040	ONE-N29A-B	PROTO-CUNEIFORM NUMBER ONE-N29A-B	Nl;0;L;;;;1;N
44	ignore				2352	125AE	𒖮	1(N29A~c)	1(N29A~c)		o0903041	ONE-N29A-C	PROTO-CUNEIFORM NUMBER ONE-N29A-C	Nl;0;L;;;;1;N
45	ignore				2357	125AF	𒖯	1(N30~a)	1(N30~a)		o0903046	ONE-N30-A	PROTO-CUNEIFORM NUMBER ONE-N30-A	Nl;0;L;;;;1;N
45.1	ignore				2356	125B0	𒖰	1(N30~a)	1(N30~a)~v1		o0903045	ONE-N30-A VARIANT 1	PROTO-CUNEIFORM NUMBER ONE-N30-A VARIANT 1	Nl;0;L;;;;1;N
46	ignore				2359	125B1	𒖱	1(N30~c)	1(N30~c)		o0903048	ONE-N30-C	PROTO-CUNEIFORM NUMBER ONE-N30-C	Nl;0;L;;;;1;N
47	ignore				2360	125B2	𒖲	1(N30~d)	1(N30~d)		o0903049	ONE-N30-D	PROTO-CUNEIFORM NUMBER ONE-N30-D	Nl;0;L;;;;1;N
48	ignore				2361	125B3	𒖳	1(N30~e)	1(N30~e)		o0903050	ONE-N30-E	PROTO-CUNEIFORM NUMBER ONE-N30-E	Nl;0;L;;;;1;N
49	ignore				2363	125B4	𒖴	1(N30A~c)	1(N30A~c)		o0903052	ONE-N30A-C	PROTO-CUNEIFORM NUMBER ONE-N30A-C	Nl;0;L;;;;1;N
50	ignore				2365	125B5	𒖵	1(N30C~b)	1(N30C~b)		o0903054	ONE-N30C-B	PROTO-CUNEIFORM NUMBER ONE-N30C-B	Nl;0;L;;;;1;N
51	ignore				2366	125B6	𒖶	1(N30C~c)	1(N30C~c)		o0903055	ONE-N30C-C	PROTO-CUNEIFORM NUMBER ONE-N30C-C	Nl;0;L;;;;1;N
52	ignore				2367	125B7	𒖷	1(N31)	1(N31)		o0903056	ONE-N31	PROTO-CUNEIFORM NUMBER ONE-N31	Nl;0;L;;;;1;N
53	ignore				2368	125B8	𒖸	1(N32)	1(N32)		o0903057	ONE-N32	PROTO-CUNEIFORM NUMBER ONE-N32	Nl;0;L;;;;1;N
54	ignore				2369	125B9	𒖹	1(N33)	1(N33)		o0903058	ONE-N33	PROTO-CUNEIFORM NUMBER ONE-N33	Nl;0;L;;;;1;N
55	ignore				2370	125BA	𒖺	1(N34)	1(N34)		o0903059	ONE-N34	PROTO-CUNEIFORM NUMBER ONE-N34	Nl;0;L;;;;1;N
56	ignore				2372	125BB	𒖻	1(N34@f)	1(N34@f)		o0903070	ONE-N34 FLAT	PROTO-CUNEIFORM NUMBER ONE-N34 FLAT	Nl;0;L;;;;1;N
57	ignore				2373	125BC	𒖼	|1(N34@f@t)|	1(N34@f@t)		o0903069	ONE-N34 FLAT TENU	PROTO-CUNEIFORM NUMBER ONE-N34 FLAT TENU	Nl;0;L;;;;1;N
58	ignore				2390	125BD	𒖽	1(N35)	1(N35)		o0903079	ONE-N35	PROTO-CUNEIFORM NUMBER ONE-N35	Nl;0;L;;;;1;N
59	ignore				2393	125BE	𒖾	1(N36)	1(N36)		o0903082	ONE-N36	PROTO-CUNEIFORM NUMBER ONE-N36	Nl;0;L;;;;1;N
60	ignore				2394	125BF	𒖿	1(N36@f)	1(N36@f)		o0903091	ONE-N36 FLAT	PROTO-CUNEIFORM NUMBER ONE-N36 FLAT	Nl;0;L;;;;1;N
61	ignore				2403	125C0	𒗀	1(N37)	1(N37)		o0903092	ONE-N37	PROTO-CUNEIFORM NUMBER ONE-N37	Nl;0;L;;;;1;N
62	ignore				2405	125C1	𒗁	1(N38)	1(N38)		o0903094	ONE-N38	PROTO-CUNEIFORM NUMBER ONE-N38	Nl;0;L;;;;1;N
63	ignore				2408	125C2	𒗂	1(N39~a)	1(N39~a)		o0903097	ONE-N39-A	PROTO-CUNEIFORM NUMBER ONE-N39-A	Nl;0;L;;;;1;N
64	ignore				2409	125C3	𒗃	1(N39~b)	1(N39~b)		o0903098	ONE-N39-B	PROTO-CUNEIFORM NUMBER ONE-N39-B	Nl;0;L;;;;1;N
65	ignore				2422	125C4	𒗄	1(N40)	1(N40)		o0903111	ONE-N40	PROTO-CUNEIFORM NUMBER ONE-N40	Nl;0;L;;;;1;N
66	ignore				2426	125C5	𒗅	1(N41)	1(N41)		o0903115	ONE-N41	PROTO-CUNEIFORM NUMBER ONE-N41	Nl;0;L;;;;1;N
67	ignore				2431	125C6	𒗆	1(N42~a)	1(N42~a)		o0903120	ONE-N42-A	PROTO-CUNEIFORM NUMBER ONE-N42-A	Nl;0;L;;;;1;N
68	ignore				2432	125C7	𒗇	1(N42~b)	1(N42~b)		o0903121	ONE-N42-B	PROTO-CUNEIFORM NUMBER ONE-N42-B	Nl;0;L;;;;1;N
69	ignore				2442	125C8	𒗈	1(N43)	1(N43)		o0903131	ONE-N43	PROTO-CUNEIFORM NUMBER ONE-N43	Nl;0;L;;;;1;N
70	ignore				2444	125C9	𒗉	1(N44)	1(N44)		o0903133	ONE-N44	PROTO-CUNEIFORM NUMBER ONE-N44	Nl;0;L;;;;1;N
71	ignore				2445	125CA	𒗊	1(N45)	1(N45)		o0903134	ONE-N45	PROTO-CUNEIFORM NUMBER ONE-N45	Nl;0;L;;;;1;N
72	ignore				2447	125CB	𒗋	1(N45~a)	1(N45~a)		o0903135	ONE-N45-A	PROTO-CUNEIFORM NUMBER ONE-N45-A	Nl;0;L;;;;1;N
73	ignore				2446	125CC	𒗌	1(N45@f)	1(N45@f)		o0903144	ONE-N45 FLAT	PROTO-CUNEIFORM NUMBER ONE-N45 FLAT	Nl;0;L;;;;1;N
74	ignore				2464	125CD	𒗍	1(N46)	1(N46)		o0903153	ONE-N46	PROTO-CUNEIFORM NUMBER ONE-N46	Nl;0;L;;;;1;N
75	ignore				2465	125CE	𒗎	1(N46@f)	1(N46@f)		o0903156	ONE-N46 FLAT	PROTO-CUNEIFORM NUMBER ONE-N46 FLAT	Nl;0;L;;;;1;N
76	ignore				2469	125CF	𒗏	1(N47)	1(N47)		o0903158	ONE-N47	PROTO-CUNEIFORM NUMBER ONE-N47	Nl;0;L;;;;1;N
