AB~a	𒚘𒚢
|ZATU737×GAR|	𒵝𒵦
|ZATU737×DI|	𒵚𒵨
ZATU749~a	𒵬𒵭𒵮
ZATU750	𒵱𒵲𒵳𒵴
ZATU752	𒵷𒵸
ZATU756	𒵽𒵾
ZATU757	𒵿𒶀
ZATU759	𒶂𒶈
ZATU762~a	𒶊𒶌𒶍
ZATU773~a	𒶘𒶙
ZATU776	𒶝𒶞
ZATU777	𒶟𒶠𒶡
ZATU839	𒷙𒷚
ZI~a	𒷬𒷫
|1(N57).ŠUBUR|	𒷶 𒷷
