o0900126	s	BAHAR₂~b	BAHAR₂~b	18	134
o0900128	s	BAHAR₂~c	BAHAR₂~c	15	136
o0900130	s	BALA~a	BALA~a	18	138
o0900131	s	BALA~b	BALA~b	2	139
o0900133	s	BALAG	BALAG	16	141
o0900136	s	BAN~a	BAN~a	14	144
o0900139	s	BAN~b	BAN~b	2	147
o0900141	s	BANŠUR~a	BANŠUR~a	1	149
o0900142	s	BANŠUR~b1	BANŠUR~b1	2	151
o0900143	s	BANŠUR~b2	BANŠUR~b2	1	152
o0900144	s	BANŠUR~c	BANŠUR~c	2	153
o0900146	s	BANŠUR~a@t	BANŠUR~a@t	1	150
o0900148	s	BAPPIR~a	BAPPIR~a	3	156
o0900149	s	BAPPIR~b	BAPPIR~b	3	157
o0900150	s	BAPPIR~c	BAPPIR~c	1	158
o0900151	s	BAPPIR~d	BAPPIR~d	6	159
o0900152	s	BAPPIR~e	BAPPIR~e	1	160
o0900153	s	BAPPIR~f	BAPPIR~f	1	161
o0900154	s	BAR	BAR	302	162
o0900158	s	BARA₂~a	BARA₂~a	56	168
o0900160	s	BARA₂~b	BARA₂~b	4	170
o0900162	s	BARA₃	BARA₃	15	172
o0900165	s	BIR~a	BIR~a	4	638
o0900166	s	BIR~b	BIR~b	1	639
o0900167	s	BIR~c	BIR~c	1	640
o0900169	s	BIR₃~a	BIR₃~a	14	642
o0900171	s	BIR₃~b	BIR₃~b	4	644
o0900173	s	BIR₃~c	BIR₃~c	4	646
o0900175	s	BU~a	BU~a	403	663
o0900177	s	BU~b	BU~b	13	689
o0900183	c	|BU~a~v1×A|	|BU~a×A|	2	686
o0900189	c	|BU~a&BU~a|	|BU~a&BU~a|	1	677
o0900191	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	8	678
o0900195	c	|(BU~a~v1%BU~a~v1).NA₂~a@n|	|(BU~a&BU~a).NA₂~a@n|	2	688
o0900197	c	|(BU~a&BU~a).X|	|(BU~a&BU~a).X|	1	683
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	40	669
o0900199	c	|BU~a+DU₆~a|	|BU~a.DU₆~a|	9	669
o0900202	c	|BU~a+KI|	|BU~a+KI|	1	672
o0900205	s	BU₃	BU₃	20	692
o0900205	s	BU₃	BU₃~a	3	692
o0900206	s	BULUG	BULUG	3	694
o0900207	s	BULUG₃	BULUG₃	30	695
o0900211	s	BUR~a	BUR~a	27	699
o0900212	s	BUR~b	BUR~b	8	700
o0900213	s	BUR~c	BUR~c	1	701
o0900214	s	BUR~d	BUR~d	1	702
o0900215	s	BUR₂	BUR₂	34	703
o0900217	s	DA~a	DA~a	164	706
o0900218	s	DA~b	DA~b	6	708
o0900219	s	DA~c	DA~c	2	709
o0900220	s	DA~d	DA~d	1	710
o0900224	s	DAH	DAH	22	711
o0900225	s	DAM	DAM	14	712
o0900226	s	DANNA	DANNA	4	713
o0900228	s	DAR~a	DAR~a	14	716
o0900229	s	DAR~b	DAR~b	12	718
o0900230	s	DAR~c	DAR~c	6	719
o0900231	s	DAR~d	DAR~d	1	720
o0900233	c	|DAR~a×A|	|DAR~a×A|	1	717
o0900235	s	DARA₃~a	DARA₃~a	3	724
o0900236	s	DARA₃~b	DARA₃~b	1	725
o0900237	s	DARA₃~c	DARA₃~c	5	726
o0900239	s	DARA₃~d	DARA₃~d	1	732
o0900241	c	|DARA₃~c×KAR₂~b|	|DARA₃~c×KAR₂|	2	729
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	5	737
o0900246	c	|DARA₃~c×(KAR₂~c.ŠE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|	1	730
o0900247	c	|DARA₃~d2×(KAR₂~a1.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	1	742
o0900249	s	DARA₄~a1	DARA₄~a1	26	744
o0900250	s	DARA₄~a2	DARA₄~a2	3	745
o0900251	s	DARA₄~a3	DARA₄~a3	1	746
o0900252	s	DARA₄~b	DARA₄~b	4	747
o0900253	s	DARA₄~c	DARA₄~c	1	748
o0900254	s	DARA₄~c1	DARA₄~c1	10	749
o0900255	s	DARA₄~c2	DARA₄~c2	20	750
o0900256	s	DARA₄~c3	DARA₄~c3	4	751
o0900257	s	DARA₄~c4	DARA₄~c4	7	752
o0900258	s	DARA₄~c5	DARA₄~c5	1	753
o0900259	s	DARA₄~d	DARA₄~d	1	754
o0900260	s	DI	DI	89	755
o0900261	s	DI@t	DI@t	2	756
o0900262	s	DIB	DIB	5	757
o0900264	s	DILMUN	DILMUN	26	759
o0900269	s	DIM~a	DIM~a	34	763
o0900270	s	DIM~b	DIM~b	4	764
o0900271	s	DIM~c	DIM~c	19	765
o0900276	s	DIN	DIN	63	766
