o0900213	s	BUR~c	BUR~c	1
o0900214	s	BUR~d	BUR~d	1
o0900215	s	BUR₂	BUR₂	34
o0900217	s	DA~a	DA~a	164
o0900218	s	DA~b	DA~b	6
o0900219	s	DA~c	DA~c	2
o0900220	s	DA~d	DA~d	1
o0900224	s	DAH	DAH	22
o0900225	s	DAM	DAM	14
o0900226	s	DANNA	DANNA	4
o0900228	s	DAR~a	DAR~a	14
o0900229	s	DAR~b	DAR~b	12
o0900230	s	DAR~c	DAR~c	6
o0900231	s	DAR~d	DAR~d	1
o0900233	c	|DAR~a×A|	|DAR~a×A|	1
o0900235	s	DARA₃~a	DARA₃~a	3
o0900236	s	DARA₃~b	DARA₃~b	1
o0900237	s	DARA₃~c	DARA₃~c	5
o0900239	s	DARA₃~d	DARA₃~d	1
o0900241	c	|DARA₃~c×KAR₂~b|	|DARA₃~c×KAR₂|	2
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	5
o0900246	c	|DARA₃~c×(KAR₂~c.ŠE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|	1
o0900247	c	|DARA₃~d2×(KAR₂~a1.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	1
o0900249	s	DARA₄~a1	DARA₄~a1	26
o0900250	s	DARA₄~a2	DARA₄~a2	3
o0900251	s	DARA₄~a3	DARA₄~a3	1
o0900252	s	DARA₄~b	DARA₄~b	4
o0900253	s	DARA₄~c	DARA₄~c	1
o0900254	s	DARA₄~c1	DARA₄~c1	10
o0900255	s	DARA₄~c2	DARA₄~c2	20
o0900256	s	DARA₄~c3	DARA₄~c3	4
o0900257	s	DARA₄~c4	DARA₄~c4	7
o0900258	s	DARA₄~c5	DARA₄~c5	1
o0900259	s	DARA₄~d	DARA₄~d	1
o0900260	s	DI	DI	89
o0900261	s	DI@t	DI@t	2
o0900262	s	DIB	DIB	5
o0900264	s	DILMUN	DILMUN	26
o0900269	s	DIM~a	DIM~a	34
o0900270	s	DIM~b	DIM~b	4
o0900271	s	DIM~c	DIM~c	19
o0900276	s	DIN	DIN	63
o0900277	c	|DIN×1(N58)|	|DIN+1(N57)|	1
o0900278	s	DIN@t	DIN@t	1
o0900279	s	DU	DU	321
o0900281	c	|DU×1(N58@t)|	|DU×DIŠ|	3
o0900282	s	DU@g	DU@g	1
o0900284	s	DU₆~a	DU₆~a	14
o0900287	s	DU₆~b	DU₆~b	28
o0900288	s	DU₆~c	DU₆~c	1
o0900290	c	|DU₆~a~v1×1(N58)|	|DU₆~a×DIŠ|	1
o0900291	s	DU₇	DU₇	4
o0900293	s	DU₈~a	DU₈~a	1
o0900294	s	DU₈~b	DU₈~b	2
o0900296	s	DU₈~c	DU₈~c	35
o0900299	c	|DU₈~c×AB₂|	|DU₈~c×AB₂|	1
o0900301	c	|DU₈~c×AMAR|	|DU₈~c×AMAR|	8
o0900303	c	|DU₈~c×HI|	|DU₈~c×HI|	1
o0900305	c	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	4
o0900309	s	DU₈~c@g	DU₈~c@g	16
o0900312	s	DUB~a	DUB~a	110
o0900313	s	DUB~b	DUB~b	57
o0900318	s	DUB~c	DUB~c	1
o0900319	s	DUB~d	DUB~d	3
o0900320	s	DUB~e	DUB~e	1
o0900321	s	DUB~f	DUB~f	4
o0900322	s	DUB~h	DUB~h	1
o0900324	c	|(DUB@n~a×1(N58))~a|	|(DUB×DIŠ)~a|	5
