pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
126CC	𒛌	126E1	𒛡	BAD₃~a	BAD₃~a	BAD3-A	BAD3-A	o0900119
126CD	𒛍	126E2	𒛢	BAD₃~b1	BAD₃~b1	BAD3-B1	BAD3-B1	o0900121
126CE	𒛎	126E3	𒛣	BAD₃~b2	BAD₃~b2	BAD3-B2	BAD3-B2	o0900122
126CF	𒛏	126E4	𒛤	BAHAR₂~a	BAHAR₂~a	BAHAR2-A	BAHAR2-A	o0900124
126D0	𒛐	126E6	𒛦	BAHAR₂~b	BAHAR₂~b	BAHAR2-B	BAHAR2-B	o0900126
126D1	𒛑	126E8	𒛨	BAHAR₂~c	BAHAR₂~c	BAHAR2-C	BAHAR2-C	o0900128
126D2	𒛒	126E9	𒛩	BALA~a	BALA~a	BALA-A	BALA-A	o0900130
126D3	𒛓	126EA	𒛪	BALA~b	BALA~b	BALA-B	BALA-B	o0900131
126D4	𒛔	126EC	𒛬	BALAG	BALAG	BALAG	BALAG	o0900133
126D5	𒛕	126EE	𒛮	BAN~a	BAN~a	BAN-A	BAN-A	o0900136
126D6	𒛖	126F1	𒛱	BAN~b	BAN~b	BAN-B	BAN-B	o0900139
126D7	𒛗	126F2	𒛲	BANŠUR~a	BANŠUR~a	BANSHUR-A	BANSHUR-A	o0900141
126D8	𒛘	126F3	𒛳	BANŠUR~a@t	BANŠUR~a@t	BANSHUR-A TENU	BANSHUR-A TENU	o0900146
126D9	𒛙	126F4	𒛴	BANŠUR~b1	BANŠUR~b1	BANSHUR-B1	BANSHUR-B1	o0900142
126DA	𒛚	126F5	𒛵	BANŠUR~b2	BANŠUR~b2	BANSHUR-B2	BANSHUR-B2	o0900143
126DB	𒛛	126F6	𒛶	BANŠUR~c	BANŠUR~c	BANSHUR-C	BANSHUR-C	o0900144
126DC	𒛜	126F7	𒛷	BAPPIR~a	BAPPIR~a	BAPPIR-A	BAPPIR-A	o0900148
126DD	𒛝	126F8	𒛸	BAPPIR~b	BAPPIR~b	BAPPIR-B	BAPPIR-B	o0900149
126DE	𒛞	126F9	𒛹	BAPPIR~c	BAPPIR~c	BAPPIR-C	BAPPIR-C	o0900150
126DF	𒛟	126FA	𒛺	BAPPIR~d	BAPPIR~d	BAPPIR-D	BAPPIR-D	o0900151
126E0	𒛠	126FB	𒛻	BAPPIR~e	BAPPIR~e	BAPPIR-E	BAPPIR-E	o0900152
126E1	𒛡	126FC	𒛼	BAPPIR~f	BAPPIR~f	BAPPIR-F	BAPPIR-F	o0900153
126E2	𒛢	126FD	𒛽	BAR	BAR	BAR	BAR	o0900154
126E3	𒛣	126FE	𒛾	BARA₂~a	BARA₂~a	BARA2-A	BARA2-A	o0900158
126E4	𒛤	12700	𒜀	BARA₂~b	BARA₂~b	BARA2-B	BARA2-B	o0900160
126E5	𒛥	12702	𒜂	BARA₃	BARA₃	BARA3	BARA3	o0900162
126E6	𒛦	12703	𒜃	BIR~a	BIR~a	BIR-A	BIR-A	o0900165
126E7	𒛧	12704	𒜄	BIR~b	BIR~b	BIR-B	BIR-B	o0900166
126E8	𒛨	12705	𒜅	BIR~c	BIR~c	BIR-C	BIR-C	o0900167
126E9	𒛩	12706	𒜆	BIR₃~a	BIR₃~a	BIR3-A	BIR3-A	o0900169
126EA	𒛪	12708	𒜈	BIR₃~b	BIR₃~b	BIR3-B	BIR3-B	o0900171
126EB	𒛫	1270A	𒜊	BIR₃~c	BIR₃~c	BIR3-C	BIR3-C	o0900173
126EC	𒛬	1270B	𒜋	BU~a	BU~a	BU-A	BU-A	o0900175
126ED	𒛭	1270C	𒜌	|BU~a+DU₆~a|	|BU~a+DU₆~a|	BU-A JOINING DU6-A	BU-A JOINING DU6-A	o0900199
126EE	𒛮	F302D	󳀭	|BU~a+KI|		BU-A JOINING KI		o0900202
126EF	𒛯	F302C	󳀬	|BU~a&BU~a|		BU-A OVER BU-A		o0900189
126F0	𒛰	12714	𒜔	|BU~a×A|	|BU~a~v1×A|	BU-A TIMES A	BU-A VARIANT 1 TIMES A	o0900183
126F1	𒛱	12716	𒜖	BU~b	BU~b	BU-B	BU-B	o0900177
126F2	𒛲	12718	𒜘	BU₃	BU₃	BU3	BU3	o0900205
126F3	𒛳	12719	𒜙	BULUG	BULUG	BULUG	BULUG	o0900206
126F4	𒛴	1271A	𒜚	BULUG₃	BULUG₃	BULUG3	BULUG3	o0900207
126F5	𒛵	1271B	𒜛	BUR~a	BUR~a	BUR-A	BUR-A	o0900211
126F6	𒛶	1271C	𒜜	BUR~b	BUR~b	BUR-B	BUR-B	o0900212
126F7	𒛷	1271D	𒜝	BUR~c	BUR~c	BUR-C	BUR-C	o0900213
126F8	𒛸	1271E	𒜞	BUR~d	BUR~d	BUR-D	BUR-D	o0900214
126F9	𒛹	1271F	𒜟	BUR₂	BUR₂	BUR2	BUR2	o0900215
126FA	𒛺	12720	𒜠	DA~a	DA~a	DA-A	DA-A	o0900217
126FB	𒛻	12722	𒜢	DA~b	DA~b	DA-B	DA-B	o0900218
126FC	𒛼	12723	𒜣	DA~c	DA~c	DA-C	DA-C	o0900219
126FD	𒛽	12724	𒜤	DA~d	DA~d	DA-D	DA-D	o0900220
126FE	𒛾	12725	𒜥	DAH	DAH	DAH	DAH	o0900224
126FF	𒛿	12726	𒜦	DAM	DAM	DAM	DAM	o0900225
12700	𒜀	12727	𒜧	DANNA	DANNA	DANNA	DANNA	o0900226
12701	𒜁	12728	𒜨	DAR~a	DAR~a	DAR-A	DAR-A	o0900228
12702	𒜂	12729	𒜩	|DAR~a×A|	|DAR~a×A|	DAR-A TIMES A	DAR-A TIMES A	o0900233
12703	𒜃	1272A	𒜪	DAR~b	DAR~b	DAR-B	DAR-B	o0900229
12704	𒜄	1272B	𒜫	DAR~c	DAR~c	DAR-C	DAR-C	o0900230
12705	𒜅	1272D	𒜭	DARA₃~a	DARA₃~a	DARA3-A	DARA3-A	o0900235
12706	𒜆	1272E	𒜮	DARA₃~b	DARA₃~b	DARA3-B	DARA3-B	o0900236
12707	𒜇	1272F	𒜯	DARA₃~c	DARA₃~c	DARA3-C	DARA3-C	o0900237
12708	𒜈	12730	𒜰	|DARA₃~c×KAR₂|	|DARA₃~c×KAR₂~b|	DARA3-C TIMES KAR2	DARA3-C TIMES KAR2-B	o0900241
12709	𒜉	12731	𒜱	|DARA₃~c×(KAR₂.ŠE~a)|	|DARA₃~c×(KAR₂~c.ŠE~a)|	DARA3-C TIMES KAR2 PLUS SHE-A	DARA3-C TIMES KAR2-C PLUS SHE-A	o0900246
1270A	𒜊	12733	𒜳	DARA₃~d	DARA₃~d	DARA3-D	DARA3-D	o0900239
1270B	𒜋	12734	𒜴	|DARA₃~d×KAR₂|	|DARA₃~d×KAR₂~b|	DARA3-D TIMES KAR2	DARA3-D TIMES KAR2-B	o0900242
1270C	𒜌	12737	𒜷	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA₃~d2×(KAR₂~a1.ŠE~a)|	DARA3-D TIMES KAR2 PLUS SHE-A	DARA3-D2 TIMES KAR2-A1 PLUS SHE-A	o0900247
1270D	𒜍	12738	𒜸	DARA₄~a1	DARA₄~a1	DARA4-A1	DARA4-A1	o0900249
1270E	𒜎	12739	𒜹	DARA₄~a2	DARA₄~a2	DARA4-A2	DARA4-A2	o0900250
1270F	𒜏	1273A	𒜺	DARA₄~a3	DARA₄~a3	DARA4-A3	DARA4-A3	o0900251
12710	𒜐	1273B	𒜻	DARA₄~b	DARA₄~b	DARA4-B	DARA4-B	o0900252
12711	𒜑	F3069	󳁩	DARA₄~c		DARA4-C		o0900253
12712	𒜒	1273C	𒜼	DARA₄~c1	DARA₄~c1	DARA4-C1	DARA4-C1	o0900254
12713	𒜓	1273D	𒜽	DARA₄~c2	DARA₄~c2	DARA4-C2	DARA4-C2	o0900255
12714	𒜔	1273E	𒜾	DARA₄~c3	DARA₄~c3	DARA4-C3	DARA4-C3	o0900256
12715	𒜕	1273F	𒜿	DARA₄~c4	DARA₄~c4	DARA4-C4	DARA4-C4	o0900257
12716	𒜖	12740	𒝀	DARA₄~c5	DARA₄~c5	DARA4-C5	DARA4-C5	o0900258
12717	𒜗	F302F	󳀯	DARA₄~d		DARA4-D		o0900259
12718	𒜘	12741	𒝁	DI	DI	DI	DI	o0900260
12719	𒜙	12742	𒝂	DI@t	DI@t	DI TENU	DI TENU	o0900261
1271A	𒜚	12743	𒝃	DIB	DIB	DIB	DIB	o0900262
1271B	𒜛	12745	𒝅	DILMUN	DILMUN	DILMUN	DILMUN	o0900264
1271C	𒜜	12748	𒝈	DIM~a	DIM~a	DIM-A	DIM-A	o0900269
1271D	𒜝	12749	𒝉	DIM~b	DIM~b	DIM-B	DIM-B	o0900270
1271E	𒜞	1274A	𒝊	DIM~c	DIM~c	DIM-C	DIM-C	o0900271
1271F	𒜟	1274B	𒝋	DIN	DIN	DIN	DIN	o0900276
12720	𒜠	F3030	󳀰	|DIN×1(N58)|		DIN TIMES ONE-N58		o0900277
12721	𒜡	1274C	𒝌	DIN@t	DIN@t	DIN TENU	DIN TENU	o0900278
12722	𒜢	1274D	𒝍	DU	DU	DU	DU	o0900279
12723	𒜣	1274E	𒝎	|DU×1(N58@t)|	|DU×1(N58@t)|	DU TIMES ONE-N58 TENU	DU TIMES ONE-N58 TENU	o0900281
12724	𒜤	1274F	𒝏	DU@g	DU@g	DU GUNU	DU GUNU	o0900282
12725	𒜥	12750	𒝐	DU₆~a	DU₆~a	DU6-A	DU6-A	o0900284
12726	𒜦	12752	𒝒	|DU₆~a×1(N58)|	|DU₆~a~v1×1(N58)|	DU6-A TIMES ONE-N58	DU6-A VARIANT 1 TIMES ONE-N58	o0900290
12727	𒜧	12753	𒝓	DU₆~b	DU₆~b	DU6-B	DU6-B	o0900287
12728	𒜨	12754	𒝔	DU₆~c	DU₆~c	DU6-C	DU6-C	o0900288
12729	𒜩	12755	𒝕	DU₇	DU₇	DU7	DU7	o0900291
1272A	𒜪	12756	𒝖	DU₈~a	DU₈~a	DU8-A	DU8-A	o0900293
1272B	𒜫	12757	𒝗	DU₈~b	DU₈~b	DU8-B	DU8-B	o0900294
1272C	𒜬	12759	𒝙	DU₈~c	DU₈~c	DU8-C	DU8-C	o0900296
1272D	𒜭	F3031	󳀱	|DU₈~c×AB₂|		DU8-C TIMES AB2		o0900299
1272E	𒜮	F3032	󳀲	|DU₈~c×AMAR|		DU8-C TIMES AMAR		o0900301
1272F	𒜯	1275A	𒝚	|DU₈~c×HI|	|DU₈~c×HI|	DU8-C TIMES HI	DU8-C TIMES HI	o0900303
12730	𒜰	1275B	𒝛	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	DU8-C TIMES UDU-A	DU8-C TIMES UDU-A	o0900305
12731	𒜱	1275D	𒝝	DU₈~c@g	DU₈~c@g	DU8-C GUNU	DU8-C GUNU	o0900309
12732	𒜲	1275F	𒝟	DUB~a	DUB~a	DUB-A	DUB-A	o0900312
12733	𒜳	12760	𒝠	DUB~b	DUB~b	DUB-B	DUB-B	o0900313
12734	𒜴	12765	𒝥	DUB~c	DUB~c	DUB-C	DUB-C	o0900318
12735	𒜵	12766	𒝦	DUB~d	DUB~d	DUB-D	DUB-D	o0900319
12736	𒜶	12767	𒝧	DUB~e	DUB~e	DUB-E	DUB-E	o0900320
12737	𒜷	12768	𒝨	DUB~f	DUB~f	DUB-F	DUB-F	o0900321
12738	𒜸	F3033	󳀳	DUB~h		DUB-H		o0900322
12739	𒜹	12769	𒝩	|(DUB@n~a×1(N58))~a|	|(DUB@n~a×1(N58))~a|	DUB NUTILLU-A TIMES ONE-N58 FORM A	DUB NUTILLU-A TIMES ONE-N58 FORM A	o0900324
1273A	𒜺	1276A	𒝪	|(DUB@n~a×1(N58))~b|	|(DUB@n~a×1(N58))~b|	DUB NUTILLU-A TIMES ONE-N58 FORM B	DUB NUTILLU-A TIMES ONE-N58 FORM B	o0900326
1273B	𒜻	1276B	𒝫	|DUB@n~b×1(N58)~a|	|DUB@n~b×1(N58)~a|	DUB NUTILLU-B TIMES ONE-N58-A	DUB NUTILLU-B TIMES ONE-N58 FORM A	o0900325
1273C	𒜼	1276C	𒝬	DUB₂	DUB₂	DUB2	DUB2	o0900329
1273D	𒜽	1276D	𒝭	DUG~a	DUG~a	DUG-A	DUG-A	o0900331
1273E	𒜾	F306A	󳁪	|DUG~a×KU₆~a|		DUG-A TIMES KU6-A		o0900378
1273F	𒜿	12770	𒝰	|DUG~a×NAGA~a|	|DUG~a×NAGA~a|	DUG-A TIMES NAGA-A	DUG-A TIMES NAGA-A	o0900407
12740	𒝀	12771	𒝱	|DUG~a×U₂~a|	|DUG~a×U₂~a|	DUG-A TIMES U2-A	DUG-A TIMES U2-A	o0900447
12741	𒝁	12772	𒝲	|DUG~a×U₂~b|	|DUG~a×U₂~b|	DUG-A TIMES U2-B	DUG-A TIMES U2-B	o0900448
12742	𒝂	12773	𒝳	|DUG~a×1(N57)|	|DUG~a×1(N57)|	DUG-A TIMES ONE-N57	DUG-A TIMES ONE-N57	o0900394
12743	𒝃	12777	𒝷	DUG~b	DUG~b	DUG-B	DUG-B	o0900334
12744	𒝄	12778	𒝸	|DUG~b×ANŠE~b|	|DUG~b×ANŠE~b|	DUG-B TIMES ANSHE-B	DUG-B TIMES ANSHE-B	o0900342
12745	𒝅	12779	𒝹	|DUG~b×ANŠE~d|	|DUG~b×ANŠE~d|	DUG-B TIMES ANSHE-D	DUG-B TIMES ANSHE-D	o0900343
12746	𒝆	1277A	𒝺	|DUG~b×BALA~a|	|DUG~b×BALA~a|	DUG-B TIMES BALA-A	DUG-B TIMES BALA-A	o0900347
12747	𒝇	1277B	𒝻	|DUG~b×BIR₃~c|	|DUG~b×BIR₃~c|	DUG-B TIMES BIR3-C	DUG-B TIMES BIR3-C	o0900349
12748	𒝈	1277C	𒝼	|DUG~b×DIN|	|DUG~b×DIN|	DUG-B TIMES DIN	DUG-B TIMES DIN	o0900351
12749	𒝉	1277D	𒝽	|(DUG~b×DIN)@r|	|(DUG~b×DIN)@r|	DUG-B TIMES DIN REVERSED	DUG-B TIMES DIN REVERSED	o0900354
1274A	𒝊	1277F	𒝿	|DUG~b×GA~a|	|DUG~b×GA~a~v4|	DUG-B TIMES GA-A	DUG-B TIMES GA-A VARIANT 4	o0900358
1274B	𒝋	12780	𒞀	|DUG~b×GA~b|	|DUG~b×GA~b|	DUG-B TIMES GA-B	DUG-B TIMES GA-B	o0900359
1274C	𒝌	12781	𒞁	|DUG~b×GEŠTU~a|	|DUG~b×GEŠTU~a~v2|	DUG-B TIMES GESHTU-A	DUG-B TIMES GESHTU-A VARIANT 2	o0900361
1274D	𒝍	12782	𒞂	|DUG~b×GEŠTU~b|	|DUG~b×GEŠTU~b|	DUG-B TIMES GESHTU-B	DUG-B TIMES GESHTU-B	o0900363
1274E	𒝎	12783	𒞃	|DUG~b×GI₆|	|DUG~b×GI₆|	DUG-B TIMES GI6	DUG-B TIMES GI6	o0900365
1274F	𒝏	12784	𒞄	|DUG~b×GIŠ|	|DUG~b×GIŠ|	DUG-B TIMES GISH	DUG-B TIMES GISH	o0900367
12750	𒝐	12785	𒞅	|DUG~b×HI|	|DUG~b×HI|	DUG-B TIMES HI	DUG-B TIMES HI	o0900370
12751	𒝑	12786	𒞆	|DUG~b×KASKAL|	|DUG~b×KASKAL|	DUG-B TIMES KASKAL	DUG-B TIMES KASKAL	o0900376
12752	𒝒	12787	𒞇	|DUG~b×KU₆~a|	|DUG~b×KU₆~a|	DUG-B TIMES KU6-A	DUG-B TIMES KU6-A	o0900379
12753	𒝓	12788	𒞈	|DUG~b×KUR~a|	|DUG~b×KUR~a|	DUG-B TIMES KUR-A	DUG-B TIMES KUR-A	o0900381
12754	𒝔	1278A	𒞊	|DUG~b×KUR~b|	|DUG~b×KUR~b|	DUG-B TIMES KUR-B	DUG-B TIMES KUR-B	o0900382
12755	𒝕	1278B	𒞋	|DUG~b×KUR@g~a|	|DUG~b×KUR@g~a|	DUG-B TIMES KUR GUNU-A	DUG-B TIMES KUR GUNU-A	o0900386
12756	𒝖	1278C	𒞌	|DUG~b×LAM~a|	|DUG~b×LAM~a|	DUG-B TIMES LAM-A	DUG-B TIMES LAM-A	o0900389
12757	𒝗	1278D	𒞍	|DUG~b×MAŠ|	|DUG~b×MAŠ|	DUG-B TIMES MASH	DUG-B TIMES MASH	o0900391
12758	𒝘	1278E	𒞎	|DUG~b×NAGA~a|	|DUG~b×NAGA~a|	DUG-B TIMES NAGA-A	DUG-B TIMES NAGA-A	o0900408
12759	𒝙	1278F	𒞏	|DUG~b×NAM₂|	|DUG~b×NAM₂|	DUG-B TIMES NAM2	DUG-B TIMES NAM2	o0900410
1275A	𒝚	12791	𒞑	|DUG~b×SA~a|	|DUG~b×SA~a|	DUG-B TIMES SA-A	DUG-B TIMES SA-A	o0900414
1275B	𒝛	F3054	󳁔	|DUG~b×(SA~a.GI)|		DUG-B TIMES SA-A PLUS GI		o0900416
1275C	𒝜	12792	𒞒	|DUG~b×SI₄~a|	|DUG~b×SI₄~a|	DUG-B TIMES SI4-A	DUG-B TIMES SI4-A	o0900418
1275D	𒝝	12794	𒞔	|DUG~b×SIG₂~a1|	|DUG~b×SIG₂~a1|	DUG-B TIMES SIG2-A1	DUG-B TIMES SIG2-A1	o0900422
1275E	𒝞	12795	𒞕	|DUG~b×SIG₂~a2|	|DUG~b×SIG₂~a2|	DUG-B TIMES SIG2-A2	DUG-B TIMES SIG2-A2	o0900423
1275F	𒝟	12796	𒞖	|DUG~b×SIG₇|	|DUG~b×SIG₇|	DUG-B TIMES SIG7	DUG-B TIMES SIG7	o0900425
12760	𒝠	12797	𒞗	|DUG~b×SUHUR|	|DUG~b×SUHUR|	DUG-B TIMES SUHUR	DUG-B TIMES SUHUR	o0900427
12761	𒝡	12798	𒞘	|DUG~b×ŠAH₂~a|	|DUG~b×ŠAH₂~a|	DUG-B TIMES SHAH2-A	DUG-B TIMES SHAH2-A	o0900431
12762	𒝢	12799	𒞙	|DUG~b×ŠE~a|	|DUG~b×ŠE~a|	DUG-B TIMES SHE-A	DUG-B TIMES SHE-A	o0900433
12763	𒝣	1279A	𒞚	|DUG~b×(ŠE~a.NAM₂)|	|DUG~b×(ŠE~a.NAM₂)|	DUG-B TIMES SHE-A PLUS NAM2	DUG-B TIMES SHE-A PLUS NAM2	o0900437
12764	𒝤	1279B	𒞛	|DUG~b×TAK₄~a|	|DUG~b×TAK₄~a|	DUG-B TIMES TAK4-A	DUG-B TIMES TAK4-A	o0900439
12765	𒝥	1279C	𒞜	|DUG~b×(TAK₄~a.SA~a)|	|DUG~b×(TAK₄~a.SA~a)|	DUG-B TIMES TAK4-A PLUS SA-A	DUG-B TIMES TAK4-A PLUS SA-A	o0900441
12766	𒝦	1279D	𒞝	|DUG~b×(TAK₄~a.SAL)|	|DUG~b×(TAK₄~a.SAL)|	DUG-B TIMES TAK4-A PLUS SAL	DUG-B TIMES TAK4-A PLUS SAL	o0900443
12767	𒝧	1279E	𒞞	|DUG~b×TI|	|DUG~b×TI|	DUG-B TIMES TI	DUG-B TIMES TI	o0900445
12768	𒝨	1279F	𒞟	|DUG~b×U₂~a|	|DUG~b×U₂~a|	DUG-B TIMES U2-A	DUG-B TIMES U2-A	o0900449
12769	𒝩	127A0	𒞠	|DUG~b×U₂~b|	|DUG~b×U₂~b|	DUG-B TIMES U2-B	DUG-B TIMES U2-B	o0900450
1276A	𒝪	F3034	󳀴	|DUG~b×(UDU~a×TAR~b)|		DUG-B TIMES UDU-A TIMES TAR-B		o0900454
1276B	𒝫	127A1	𒞡	|DUG~b×UH₃~a|	|DUG~b×UH₃~a|	DUG-B TIMES UH3-A	DUG-B TIMES UH3-A	o0900456
1276C	𒝬	127A2	𒞢	|DUG~b×UH₃~a@t|	|DUG~b×UH₃~a@t|	DUG-B TIMES UH3-A TENU	DUG-B TIMES UH3-A TENU	o0900458
1276D	𒝭	127A5	𒞥	|DUG~b×ZATU764|	|DUG~b×ZATU764|	DUG-B TIMES ZATU764	DUG-B TIMES ZATU764	o0900466
1276E	𒝮	127A6	𒞦	|DUG~b×ZATU779|	|DUG~b×ZATU779|	DUG-B TIMES ZATU779	DUG-B TIMES ZATU779	o0900468
1276F	𒝯	127A7	𒞧	|DUG~b×ZATU780|	|DUG~b×ZATU780|	DUG-B TIMES ZATU780	DUG-B TIMES ZATU780	o0900470
12770	𒝰	127A8	𒞨	|DUG~b×ZATU781|	|DUG~b×ZATU781|	DUG-B TIMES ZATU781	DUG-B TIMES ZATU781	o0900472
12771	𒝱	127A9	𒞩	|DUG~b×(ZATU789.SA~a)|	|DUG~b×(ZATU789.SA~a)|	DUG-B TIMES ZATU789 PLUS SA-A	DUG-B TIMES ZATU789 PLUS SA-A	o0900474
12772	𒝲	127AA	𒞪	|DUG~b×1(N57)|	|DUG~b×1(N57)|	DUG-B TIMES ONE-N57	DUG-B TIMES ONE-N57	o0900395
12773	𒝳	127AB	𒞫	|DUG~b×(1(N57).KU₃~a)|	|DUG~b×(1(N57).KU₃~a)|	DUG-B TIMES ONE-N57 PLUS KU3-A	DUG-B TIMES ONE-N57 PLUS KU3-A	o0900401
12774	𒝴	F3035	󳀵	|DUG~b×1(N58)|		DUG-B TIMES ONE-N58		o0903578
12775	𒝵	127AE	𒞮	|DUG~b×AB₂|	|DUG~b~v1×AB₂|	DUG-B TIMES AB2	DUG-B VARIANT 1 TIMES AB2	o0900340
12776	𒝶	127B2	𒞲	|DUG~b×HI@g~a|	|DUG~b~v1×HI@g~a|	DUG-B TIMES HI GUNU-A	DUG-B VARIANT 1 TIMES HI GUNU-A	o0900373
12777	𒝷	127B9	𒞹	|(DUG~b&DUG~b)×1(N58)|	|(DUG~b~v1&DUG~b~v1)×1(N58)|	DUG-B OVER DUG-B TIMES ONE-N58	DUG-B VARIANT 1 OVER DUG-B VARIANT 1 TIMES ONE-N58	o0900476
12778	𒝸	127BC	𒞼	DUG~c	DUG~c~v1	DUG-C	DUG-C VARIANT 1	o0900336
12779	𒝹	127BE	𒞾	|DUG~c×1(N57)|	|DUG~c~v2×1(N57)|	DUG-C TIMES ONE-N57	DUG-C VARIANT 2 TIMES ONE-N57	o0900398
1277A	𒝺	127BB	𒞻	DUG~c@t	DUG~c@t	DUG-C TENU	DUG-C TENU	o0900479
1277B	𒝻	F301E	󳀞	DUG~d		DUG-D		o0900338
1277C	𒝼	127C2	𒟂	DUGUD	DUGUD	DUGUD	DUGUD	o0900481
1277D	𒝽	127C3	𒟃	DUR~a	DUR~a	DUR-A	DUR-A	o0900483
1277E	𒝾	127C4	𒟄	DUR~b	DUR~b	DUR-B	DUR-B	o0900484
1277F	𒝿	127C5	𒟅	DUR₂	DUR₂	DUR2	DUR2	o0900485
12780	𒞀	127C6	𒟆	E~a	E~a	E-A	E-A	o0900487
12781	𒞁	127C7	𒟇	E~b	E~b	E-B	E-B	o0900488
12782	𒞂	127C8	𒟈	E~c	E~c	E-C	E-C	o0900489
12783	𒞃	127CA	𒟊	E₂~a	E₂~a	E2-A	E2-A	o0900493
12784	𒞄	127CD	𒟍	|E₂~a×1(N58@t)|	|E₂~a×1(N58@t)|	E2-A TIMES ONE-N58 TENU	E2-A TIMES ONE-N58 TENU	o0900503
12785	𒞅	127CE	𒟎	E₂~b	E₂~b	E2-B	E2-B	o0900494
12786	𒞆	127D0	𒟐	|E₂~b×1(N58@t)|	|E₂~b×1(N58@t)|	E2-B TIMES ONE-N58 TENU	E2-B TIMES ONE-N58 TENU	o0900504
12787	𒞇	127D1	𒟑	E₂~c	E₂~c	E2-C	E2-C	o0900495
12788	𒞈	127D2	𒟒	E₂~d	E₂~d	E2-D	E2-D	o0900496
12789	𒞉	127D4	𒟔	E₃~b	E₃~b	E3-B	E3-B	o0900510
1278A	𒞊	127D5	𒟕	EDIN	EDIN	EDIN	EDIN	o0900511
1278B	𒞋	127D6	𒟖	EN~a	EN~a	EN-A	EN-A	o0900513
1278C	𒞌	127DA	𒟚	EN~b	EN~b	EN-B	EN-B	o0900517
1278D	𒞍	127DB	𒟛	EN~b@t	EN~b@t	EN-B TENU	EN-B TENU	o0900528
1278E	𒞎	127DD	𒟝	EN~c	EN~c	EN-C	EN-C	o0900519
1278F	𒞏	127E1	𒟡	EN@g~a	EN@g~a	EN GUNU-A	EN GUNU-A	o0900525
12790	𒞐	127E2	𒟢	EN@g~b	EN@g~b	EN GUNU-B	EN GUNU-B	o0900526
12791	𒞑	127E3	𒟣	EN₂	EN₂	EN2	EN2	o0900529
12792	𒞒	127E6	𒟦	ENDIB	ENDIB	ENDIB	ENDIB	o0900533
12793	𒞓	127E7	𒟧	ENGIZ	ENGIZ	ENGIZ	ENGIZ	o0900534
12794	𒞔	127E8	𒟨	ENKUM	ENKUM	ENKUM	ENKUM	o0900535
12795	𒞕	127EB	𒟫	ERIM~a	ERIM~a	ERIM-A	ERIM-A	o0900541
12796	𒞖	127EC	𒟬	ERIM~b1	ERIM~b1	ERIM-B1	ERIM-B1	o0900542
12797	𒞗	127ED	𒟭	ERIM~b2	ERIM~b2	ERIM-B2	ERIM-B2	o0900543
12798	𒞘	127EE	𒟮	ERIM₂	ERIM₂	ERIM2	ERIM2	o0900544
12799	𒞙	127EF	𒟯	ERIN	ERIN	ERIN	ERIN	o0900545
1279A	𒞚	127F0	𒟰	EŠDA	EŠDA	ESHDA	ESHDA	o0900546
1279B	𒞛	127F1	𒟱	|EŠDA×TAR~a|	|EŠDA×TAR~a|	ESHDA TIMES TAR-A	ESHDA TIMES TAR-A	o0900547
1279C	𒞜	127F2	𒟲	EŠGAR	EŠGAR	ESHGAR	ESHGAR	o0900548
1279D	𒞝	127F3	𒟳	EZEN~a	EZEN~a	EZEN-A	EZEN-A	o0900550
1279E	𒞞	127F4	𒟴	|EZEN~a×EN~b|	|EZEN~a×EN~b~v1|	EZEN-A TIMES EN-B	EZEN-A TIMES EN-B VARIANT 1	o0900557
1279F	𒞟	127F5	𒟵	|EZEN~a×(HI×1(N57).AN)|	|EZEN~a×(HI×1(N57).AN)|	EZEN-A TIMES HI TIMES ONE-N57 PLUS AN	EZEN-A TIMES HI TIMES ONE-N57 PLUS AN	o0900559
127A0	𒞠	127F6	𒟶	|EZEN~a×KAB|	|EZEN~a×KAB|	EZEN-A TIMES KAB	EZEN-A TIMES KAB	o0900561
127A1	𒞡	F3036	󳀶	|EZEN~a×KAŠ~b|		EZEN-A TIMES KASH-B		o0900563
127A2	𒞢	127F7	𒟷	|EZEN~a×KI|	|EZEN~a×KI|	EZEN-A TIMES KI	EZEN-A TIMES KI	o0900565
127A3	𒞣	127F9	𒟹	|EZEN~a×NIM~b2|	|EZEN~a×NIM~b2|	EZEN-A TIMES NIM-B2	EZEN-A TIMES NIM-B2	o0900573
127A4	𒞤	127FA	𒟺	|EZEN~a×NIMGIR|	|EZEN~a×NIMGIR|	EZEN-A TIMES NIMGIR	EZEN-A TIMES NIMGIR	o0900575
127A5	𒞥	127FB	𒟻	|EZEN~a×RAD~a|	|EZEN~a×RAD~a|	EZEN-A TIMES RAD-A	EZEN-A TIMES RAD-A	o0900577
127A6	𒞦	127FD	𒟽	|EZEN~a×SU~a|	|EZEN~a×SU~a|	EZEN-A TIMES SU-A	EZEN-A TIMES SU-A	o0900581
127A7	𒞧	127FE	𒟾	|EZEN~a×(U₂~b.A)|	|EZEN~a×(U₂~b.A)|	EZEN-A TIMES U2-B PLUS A	EZEN-A TIMES U2-B PLUS A	o0900583
127A8	𒞨	127FF	𒟿	|EZEN~a×U₄|	|EZEN~a×U₄|	EZEN-A TIMES U4	EZEN-A TIMES U4	o0900585
