EASL1503	12CDE	12CDE 12CE0 12CE2 12CE4
EASL1504	12CDF	12CDF 12CE1 12CE3
EASL1515	12CEF	12CEF 12CF0
EASL1526	12CFB	12CFB 12CFC
EASL1546	12D10	12D10 12D12 12D13
EASL1550	12D16	12D16 12D17
EASL1555	12D1C	12D1C 12D1D 12D1E 12D1F
EASL1571	12D2F	12D2F 12D30
EASL1572	12D31	12D31 12D32
EASL1588	12D42	12D42 12D43
EASL1594	12D49	12D49 12D4A
EASL1600	12D50	12D50 12D51 12D52
EASL1604	12D56	12D56 12D64 12D67
EASL1608	12D5A	12D5A 12D68
EASL1611	12D5D	12D5D 12D66
EASL1623	12D6C	12D6C 12D6D 12D6E
EASL1626	12D71	12D71 12D72 12D73 12D74
EASL1629	12D77	12D77 12D78
EASL1634	12D7D	12D7D 12D7E
EASL1635	12D7F	12D7F 12D80
EASL1637	12D82	12D82 12D88
EASL1644	12D8A	12D8A 12D8C 12D8D
EASL1656	12D98	12D98 12D99
EASL1660	12D9D	12D9D 12D9E
EASL1661	12D9F	12D9F 12DA0 12DA1
EASL1717	12DD9	12DD9 12DDA
EASL1734	12DEB	12DEB 12DEC
